order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDC10049,2018-11-17,18:38:52,Dinner,NS,"[('Shrimp', 4), ('Fish&Chips', 5), ('Salmon', 10), ('Pasta', 5)]",938.5,-37.80376210000001,144.9563764,0,7.712000000000001,15.463563
ORDB10706,2018-12-14,19:29:34,Dinner,TP,"[('Shrimp', 10), ('Salmon', 2)]",622.0,-37.8191693,145.01536090000002,0,12.706,16.510046477254498
ORDZ05899,2018-03-01,09:51:32,Breakfast,NS,"[('Eggs', 6), ('Pancake', 7), ('Coffee', 6), ('Cereal', 6)]",472.75,-37.8208282,144.9680865,0,8.802999999999999,13.3504173
ORDC09863,2018-09-17,16:37:10,Dinner,NS,"[('Salmon', 10), ('Shrimp', 2), ('Pasta', 8), ('Fish&Chips', 10)]",1088.0,-37.8197216,144.9691629,0,8.651,14.645880300000002
ORDI10641,2018-02-27,09:51:32,Breakfast,NS,"[('Pancake', 7), ('Eggs', 4), ('Cereal', 2), ('Coffee', 5)]",337.25,-37.8113564,144.96417230000003,0,7.617000000000001,12.899991499999999
ORDB10107,2018-07-15,14:25:21,Lunch,TP,"[('Steak', 5), ('Fries', 8), ('Burger', 7), ('Chicken', 8), ('Salad', 3)]",845.6,-37.8001459,144.96255219999998,0,9.742,14.720099
ORDZ08939,2018-04-27,11:43:05,Breakfast,NS,"[('Eggs', 7), ('Coffee', 1), ('Cereal', 8), ('Pancake', 9)]",547.75,-37.8010059,144.98748380000004,0,7.771,12.8707645
ORDI04214,2018-05-11,12:13:31,Lunch,NS,"[('Salad', 7), ('Burger', 10)]",430.4,-37.8262873,144.95208799999997,0,10.165,15.815149
ORDK01026,2018-11-25,18:49:00,Dinner,BK,"[('Pasta', 7), ('Salmon', 1)]",233.5,-37.82020670000001,144.9815597,0,6.695,15.947793099999998
ORDZ05557,2018-01-05,08:00:00,Breakfast,NS,"[('Coffee', 1), ('Cereal', 2)]",49.5,-37.8123454,144.9368391,1,10.124,7.202697
ORDZ07345,2018-12-19,19:39:43,Dinner,NS,"[('Fish&Chips', 8), ('Pasta', 5), ('Shrimp', 4), ('Salmon', 7)]",920.5,-37.814825899999995,144.9270956,0,10.842,16.9114481
