order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDA04354,2018-07-15,14:25:21,Lunch,BK,"[('Salad', 1), ('Fries', 7)]",101.2,-37.8172963,144.9879749,0,5.917999999999999,14.068446
ORDB02723,2018-01-23,08:40:33,Breakfast,TP,"[('Pancake', 4), ('Cereal', 4)]",181.0,-37.8173354,144.9622079,0,7.904,11.0532227
ORDB04984,2018-03-11,10:11:49,Breakfast,TP,"[('Eggs', 9), ('Coffee', 9), ('Cereal', 5), ('Pancake', 2)]",419.0,-37.806582399999996,144.96290480000002,0,9.007,13.2510337
ORDZ06038,2018-03-08,10:11:49,Breakfast,NS,"[('Cereal', 9), ('Eggs', 7), ('Pancake', 4)]",440.0,-37.808183899999996,144.9731736,0,7.119,12.2975497
ORDI06378,2018-07-29,14:55:46,Lunch,NS,"[('Salad', 10), ('Chicken', 9), ('Steak', 3), ('Burger', 1), ('Fries', 8)]",722.0,-37.8120859,144.9738603,0,7.625,14.7616055
ORDK01822,2018-11-19,18:38:52,Dinner,BK,"[('Salmon', 4), ('Fish&Chips', 1), ('Pasta', 6)]",364.0,-37.8167278,145.0089773,0,3.8789999999999996,11.0550315
ORDJ07592,2018-07-19,14:35:29,Lunch,TP,"[('Chicken', 6), ('Fries', 6), ('Steak', 1), ('Burger', 3)]",402.0,-37.8094958,145.01011689999999,0,12.255999999999998,15.011587699999998
ORDX09181,2018-12-12,19:29:34,Dinner,BK,"[('Fish&Chips', 1), ('Pasta', 5), ('Salmon', 5)]",377.5,-37.8078687,144.9803343,0,5.973,13.4541076
ORDZ06187,2018-01-13,08:20:16,Breakfast,NS,"[('Eggs', 7), ('Cereal', 1), ('Pancake', 4), ('Coffee', 10)]",347.0,-37.8215945,144.94565730000002,1,9.996,8.3090768
ORDA07173,2018-03-30,10:52:23,Breakfast,BK,"[('Eggs', 5), ('Coffee', 9)]",177.5,-37.8162393,144.9640706,0,7.757999999999999,12.5004894
ORDY04390,2018-07-12,14:25:21,Lunch,TP,"[('Steak', 5), ('Chicken', 5), ('Fries', 2)]",409.0,-37.8174936,145.00401730000002,0,11.094000000000001,14.2045055
ORDA05639,2018-10-10,17:17:44,Dinner,BK,"[('Shrimp', 2), ('Pasta', 6), ('Fish&Chips', 10)]",623.0,-37.8116708,144.9527928,0,8.493,15.702500099999998
ORDY02879,2018-01-02,08:00:00,Breakfast,TP,"[('Cereal', 7), ('Coffee', 5), ('Eggs', 3), ('Pancake', 1)]",274.75,-37.814077600000005,144.9446245,1,9.671,8.974842599999997
