ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID275585343,15 Kwinana Ct,3,h,1223500.0,22/08/2016,2.0,2.0,721.0,39.0,-37.758,145.0408
ID702339222,12A Almond St,2,h,997000.0,29/04/2017,1.0,2.0,311.0,94.0,-37.8895,145.0229
ID784956327,4/16 Hotham Gr,2,u,660000.0,12/11/2016,1.0,0.0,477.0,49.0,-37.8804,144.9969
ID219098083,48 Sydney St,3,h,840000.0,27/11/2016,1.0,0.0,697.0,99.0,-37.7809,144.8228
ID292446805,16 Hodgson St,5,h,3450000.0,26/08/2017,2.0,2.0,668.0,13.0,-37.80795,145.01474
ID679007143,6 Elswill St,5,h,1351000.0,20/05/2017,2.0,2.0,652.0,19.0,-37.9311,145.0651
ID866731286,3 Alexander St,3,h,1715000.0,10/12/2016,2.0,2.0,458.0,69.0,-37.8257,145.1216
ID298513153,6 Kennedy St,3,h,1365000.0,17/09/2016,1.0,1.0,301.0,84.0,-37.8134,145.0055
ID264990419,31 Raleigh St,2,h,1350000.0,28/08/2016,1.0,1.0,157.0,119.0,-37.8522,144.986
ID199098516,43 Type St,3,h,1270000.0,27/11/2016,1.0,1.0,152.0,109.0,-37.8219,145.0096
ID192443486,3/123 Waterdale Rd,3,t,962000.0,4/03/2017,2.0,1.0,108.0,59.0,-37.7668,145.0434
ID282839136,13 Valencia St,4,h,1650000.0,16/09/2017,2.0,1.0,484.0,69.0,-37.7609,144.89886
ID901767650,227 Wood St,3,h,1010000.0,22/04/2017,1.0,2.0,486.0,79.0,-37.7341,145.0096
ID902645057,2/6 Devon Rd,3,t,590000.0,15/10/2016,2.0,2.0,191.0,19.0,-37.7223,144.9315
ID437031456,906/700 Chapel St,2,u,666000.0,15/07/2017,1.0,1.0,0.0,14.0,-37.83613,144.99661
ID407540782,10 Coote St,3,t,1185000.0,23/04/2016,2.0,1.0,111.0,15.0,-37.8341,144.9541
ID993520435,9 Hounslow Grn,5,h,1150000.0,24/06/2017,5.0,4.0,688.0,13.0,-37.74281,144.72513
ID953990135,7 Whitty St,2,h,555000.0,18/06/2016,1.0,1.0,254.0,49.0,-37.7881,144.8354
ID568372652,36 Westgate St,3,h,1205000.0,13/05/2017,2.0,1.0,570.0,64.0,-37.9066,145.0869
ID980029013,3 Clairmont St,3,h,787000.0,3/06/2017,1.0,3.0,716.0,64.0,-37.77917,144.81407
ID588039284,6/28 The Avenue,2,u,650000.0,16/07/2016,2.0,1.0,0.0,9.0,-37.8554,144.9982
ID949528153,19 Browning Dr,4,h,2000000.0,17/06/2017,2.0,2.0,457.0,23.0,-37.76951,145.16182
ID397346521,72 Wilson St,3,h,1160000.0,23/09/2017,2.0,2.0,534.0,39.0,-37.9583,145.06041000000005
ID969494478,20 Lockley St,3,h,827000.0,3/06/2017,1.0,2.0,676.0,59.0,-37.70328,144.94161
ID719258650,3/2 Kardella St,3,u,707500.0,18/06/2016,1.0,1.0,170.0,44.0,-37.8689,145.0504
ID745461356,7 Adeney St,5,h,2400000.0,22/07/2017,4.0,2.0,742.0,39.0,-37.80218,145.10063
ID196738141,256 McBryde St,3,h,640000.0,25/02/2017,1.0,4.0,533.0,54.0,-37.6985,144.9778
ID913780868,78 The Parade,3,h,1440000.0,11/02/2017,1.0,1.0,487.0,119.0,-37.7725,144.9146
ID504221763,1/171 Waiora Rd,3,u,630000.0,27/05/2017,1.0,1.0,277.0,6.0,-37.73426,145.05986000000001
ID680799128,20 Ajax St,4,h,1620000.0,16/07/2016,2.0,1.0,654.0,59.0,-37.7885,145.0854
ID131746015,38 Addison St,3,h,1480000.0,17/09/2016,1.0,2.0,436.0,109.0,-37.7704,144.9292
ID724811729,6 Wilson Gr,3,h,1602500.0,18/03/2017,1.0,1.0,405.0,89.0,-37.8448,145.071
ID746039508,1 Heather St,2,h,1962000.0,20/05/2017,1.0,2.0,848.0,19.0,-37.9199,145.0573
ID378597865,6 Melrose Ct,4,h,1152000.0,9/09/2017,2.0,2.0,734.0,83.0,-37.874320000000004,145.18766000000005
ID446216493,53 Fordham Rd,3,h,685000.0,3/12/2016,1.0,1.0,1262.0,64.0,-37.7139,145.0215
ID675151243,2 Cooke St,5,h,1575000.0,16/04/2016,3.0,2.0,700.0,31.0,-37.7461,144.9173
ID648563354,17 Yarra St,3,h,1470000.0,8/10/2016,2.0,1.0,364.0,49.0,-37.8513,144.8961
ID136285571,41 Highview Dr,3,h,1310000.0,13/08/2016,1.0,2.0,1157.0,59.0,-37.7934,145.1336
ID982134806,3301/288 Spencer St,2,u,650000.0,18/03/2017,1.0,1.0,0.0,102.0,-37.8138,144.952
ID969529300,24 Kerferd Pl,3,h,1800000.0,10/09/2016,2.0,1.0,90.0,119.0,-37.8421,144.9571
ID541539758,306/45 York St,2,u,685000.0,22/07/2017,2.0,1.0,0.0,8.0,-37.813,144.99303
ID374054407,2/33 Ashley St,2,t,380000.0,12/11/2016,1.0,1.0,83.0,9.0,-37.7171,145.0019
ID956814516,33 Newstead St,3,h,1320000.0,10/09/2016,2.0,2.0,645.0,119.0,-37.7662,144.8971
ID363592160,16 Bottlebrush Rd,4,h,565000.0,12/08/2017,2.0,2.0,482.0,7.0,-37.57416,144.91269
ID700713077,38 Gillard St,5,h,1410000.0,18/03/2017,2.0,1.0,824.0,69.0,-37.8535,145.1139
ID462392742,2 Esther St,2,h,860000.0,27/06/2016,2.0,1.0,415.0,94.0,-37.7481,145.0017
ID432187948,9/561 Spencer St,3,u,995000.0,18/03/2017,1.0,1.0,0.0,79.0,-37.8076,144.9474
ID575337154,712/8 Howard St,2,u,927000.0,29/07/2017,1.0,2.0,0.0,19.0,-37.83305,144.99745
ID339673406,47 Barnett St,3,h,961000.0,7/05/2016,1.0,1.0,235.0,17.0,-37.7925,144.9323
ID890237473,5 Donne St,3,h,1090000.0,12/11/2016,1.0,1.0,464.0,59.0,-37.753,144.9485
ID792332117,1107/12 Yarra St,1,u,425000.0,13/08/2016,1.0,1.0,0.0,12.0,-37.836999999999996,144.9931
ID993406905,15 Bletchley Pl,4,h,590000.0,22/07/2017,2.0,2.0,617.0,59.0,-37.7364,144.82556
ID280512924,286 Balwyn Rd,4,h,1950000.0,9/09/2017,3.0,1.0,747.0,3.0,-37.79609,145.08478
ID743994215,15/36 Brighton Rd,1,u,500000.0,27/11/2016,1.0,0.0,0.0,91.0,-37.87300000000001,144.9907
ID396273667,2 Merton Cl,3,h,1385000.0,1/07/2017,1.0,2.0,807.0,49.0,-37.86618,145.14757
ID636344667,6 Speight St,4,h,1280000.0,16/07/2016,2.0,1.0,458.0,89.0,-37.8427,144.879
ID968112972,43 Ballarat St,2,h,767000.0,25/02/2017,1.0,0.0,128.0,99.0,-37.8179,144.8908
ID543659289,1/4 Hill St,2,u,665000.0,23/04/2016,1.0,3.0,0.0,54.0,-37.8183,145.0194
ID348085231,13/8 The Strand,2,t,830000.0,7/11/2016,1.0,1.0,84.0,39.0,-37.8581,144.9015
ID991878270,5/4 Edward St,1,u,322500.0,17/06/2017,1.0,1.0,0.0,16.0,-37.80504000000001,144.88685
ID433842676,40 Plunkett St,3,h,885000.0,12/11/2016,1.0,1.0,666.0,64.0,-37.7509,145.0423
ID170854868,3/50 Denbigh Rd,2,u,546000.0,30/07/2016,0.0,0.0,0.0,6.0,-37.8568,145.0161
ID776408370,18 Warruga Pl,3,h,1010000.0,15/07/2017,2.0,2.0,582.0,49.0,-37.71325,145.09532
ID601627654,6/32 Walsh St,2,u,562000.0,1/07/2017,1.0,1.0,0.0,49.0,-37.90286,145.04772
ID569320709,7 Victoria St,3,h,2000000.0,4/03/2017,2.0,2.0,176.0,139.0,-37.8641,144.9739
ID515254026,98 Crookston Rd,3,h,906000.0,3/09/2017,1.0,2.0,741.0,69.0,-37.709309999999995,145.01434
ID464809705,36 Clarence St,2,h,1305000.0,1/07/2017,1.0,0.0,315.0,20.0,-37.76386,144.97783
ID832311250,5/22 Oriel Rd,2,h,790000.0,10/09/2016,1.0,1.0,221.0,64.0,-37.7654,145.036
ID562890608,14/1102 Lygon St,1,u,437000.0,24/09/2016,1.0,1.0,0.0,49.0,-37.7798,144.9707
ID517432468,23 Bicknell Ct,3,h,673000.0,3/09/2017,1.0,1.0,659.0,94.0,-37.69404,144.91763999999995
ID335963720,48 Electric St,3,h,637000.0,19/08/2017,1.0,5.0,670.0,39.0,-37.69215,144.91654
ID196121305,91 Princess St,4,h,2800000.0,23/04/2016,1.0,0.0,919.0,27.0,-37.8012,145.0297
