ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closest secondary,secondary_school_ranking
ID275585343,15 Kwinana Ct,IVANHOE,1223500.0,h,22/08/2016,3,2.0,2.0,721.0,39.0,-37.758,145.0408,19933,1279.4614192897186,25.933333333333334,False,555.6666666666666,1129.0,160.66666666666666,St Bernadette's School,814.0756645331246,230,Ivanhoe Girls' Grammar School,962.7976571383402,49
ID192443486,3/123 Waterdale Rd,IVANHOE,962000.0,t,4/03/2017,3,2.0,1.0,108.0,59.0,-37.7668,145.0434,19933,293.6587335165939,25.933333333333334,False,1593.3333333333333,6648.333333333333,530.0,Ivanhoe Primary School,44.77145176253489,100,Ivanhoe Girls' Grammar School,338.081345773306,49
ID832311250,5/22 Oriel Rd,IVANHOE,790000.0,h,10/09/2016,2,1.0,1.0,221.0,64.0,-37.7654,145.036,19933,916.1858007156987,25.933333333333334,False,431.3333333333333,971.0,220.66666666666666,St Bernadette's School,308.0620463220375,230,Ivanhoe Girls' Grammar School,943.5434631309672,49
ID180899571,3/204 The Boulevard,IVANHOE EAST,405000.0,u,28/08/2016,1,1.0,1.0,0.0,59.0,-37.7767,145.0543,19933,1168.0439845240035,25.933333333333334,False,268.3333333333333,736.0,128.33333333333334,Ivanhoe East Primary School,510.77675846830897,311,Ivanhoe Grammar School,981.861706784593,57
ID875641100,32 Ailsa Gr,IVANHOE,1850000.0,h,18/03/2017,3,2.0,2.0,684.0,19.0,-37.7659,145.0392,19933,641.3744002122971,25.933333333333334,False,288.0,712.0,75.66666666666667,Ivanhoe Primary School,340.96435732872925,100,Ivanhoe Girls' Grammar School,665.5085000944769,49
ID638883167,4/6 Linton St,IVANHOE,504000.0,u,10/12/2016,2,1.0,1.0,0.0,39.0,-37.7712,145.0455,19933,256.476292266796,25.933333333333334,False,925.6666666666666,4701.333333333333,308.6666666666667,Ivanhoe Grammar School,171.8441086740094,150,Ivanhoe Grammar School,171.8441086740094,57
ID674948073,3/67 Livingstone St,IVANHOE,630000.0,u,24/09/2016,2,1.0,1.0,199.0,89.0,-37.7666,145.0356,19933,901.5886179385328,25.933333333333334,True,2744.3333333333335,10289.666666666666,780.0,St Bernadette's School,414.5721803371218,230,Ivanhoe Girls' Grammar School,989.7149540341488,49
ID378691228,1/100 St Elmo Rd,IVANHOE,450000.0,u,19/11/2016,2,1.0,1.0,0.0,59.0,-37.759,145.047,19934,796.1521426650636,29.0,False,824.6666666666666,1890.3333333333333,159.33333333333334,Ivanhoe Girls' Grammar School,698.7236858157157,38,Ivanhoe Girls' Grammar School,698.7236858157157,49
ID702339222,12A Almond St,CAULFIELD SOUTH,997000.0,h,29/04/2017,2,1.0,2.0,311.0,94.0,-37.8895,145.0229,19942,1697.7068885806514,29.416666666666668,False,1064.6666666666667,4200.666666666667,432.6666666666667,Melbourne Montessori School,285.09674726360174,75,Melbourne Montessori School,285.09674726360174,not ranked
ID193909294,201/1177 Glen Huntly Rd,GLEN HUNTLY,445000.0,u,24/09/2016,2,1.0,1.0,0.0,109.0,-37.8894,145.0431,19942,84.86803763520808,29.416666666666668,False,824.6666666666666,1890.3333333333333,159.33333333333334,St Anthony's School,448.9498950762459,485,Glen Eira College,608.2092150983113,215
